timestamp,window_id,direction,bet_amount,odds,beat_price,close_price,result,payout,pnl,running_pnl,remaining_secs,odds_spread,beat_distance,signal_mode,cl_edge,cvd_2min,liq_short_3s,liq_long_3s,hour_utc
2026-04-25 19:26:47,20260425-1125,UP,1.00,0.5250,77646.50,77701.92,WIN,1.90,+0.90,+36.76,195,0.0500,0.00,CHAINLINK,0.4415,-81649,0,0,11
2026-04-25 22:41:42,20260425-1440,UP,1.00,0.5250,77716.50,77759.06,WIN,1.90,+0.90,+37.66,199,0.0500,2.00,CHAINLINK,0.1200,722864,0,0,14,CHAINLINK_CALC
2026-04-25 23:06:02,20260425-1505,UP,1.00,0.5250,77630.50,77678.27,WIN,1.90,+0.90,+38.57,240,0.0500,8.00,CHAINLINK,0.1503,382233,0,0,15,CHAINLINK_CALC
2026-04-26 00:33:01,20260425-1630,DOWN,1.00,0.4750,77443.53,77445.06,LOSS,0.00,-1.00,+37.57,120,0.0500,86.03,CHAINLINK,0.1114,80879,0,0,16,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 00:48:02,20260425-1645,DOWN,2.00,0.4750,77403.54,77420.71,LOSS,0.00,-2.00,+35.57,118,0.0500,85.04,CHAINLINK,0.1106,1091349,0,0,16,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:02:23,20260425-1700,DOWN,2.00,0.4750,77426.62,77398.15,WIN,4.21,+2.21,+37.78,157,0.0500,86.12,CHAINLINK,0.1257,-130087,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:08:00,20260425-1705,DOWN,2.00,0.4750,77406.05,77385.46,WIN,4.21,+2.21,+39.99,120,0.0500,70.55,CHAINLINK,0.1048,45458,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:16:20,20260425-1715,DOWN,2.00,0.4750,77384.70,77346.21,WIN,4.21,+2.21,+42.20,219,0.0500,88.20,CHAINLINK,0.1225,-363438,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:22:35,20260425-1720,UP,2.00,0.5250,77353.29,77412.98,WIN,3.81,+1.81,+44.01,145,0.0500,16.79,CHAINLINK,0.1396,595064,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:33:02,20260425-1730,DOWN,2.00,0.4750,77350.01,77315.49,WIN,4.21,+2.21,+46.22,117,0.0500,106.51,CHAINLINK,0.2150,-451128,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:37:28,20260425-1735,UP,2.00,0.5250,77303.13,77357.65,WIN,3.81,+1.81,+48.03,152,0.0500,16.63,CHAINLINK,0.1381,-143512,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:43:31,20260425-1740,DOWN,2.00,0.4750,77357.90,77326.68,WIN,4.21,+2.21,+50.24,89,0.0500,72.40,CHAINLINK,0.1000,-121724,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:51:14,20260425-1750,DOWN,2.00,0.4750,77303.23,77276.59,WIN,4.21,+2.21,+52.45,226,0.0500,108.73,CHAINLINK,0.1684,-2609322,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:32:01,20260425-1830,UP,2.00,0.5250,77328.77,77390.74,WIN,3.81,+1.81,+54.26,179,0.0500,25.30,CHAINLINK,0.1760,553101,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:43:17,20260425-1840,DOWN,2.00,0.4750,77371.33,77376.38,LOSS,0.00,-2.00,+52.26,102,0.0500,15.31,CHAINLINK,0.1001,-51145,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:51:25,20260425-1850,DOWN,2.00,0.4750,77372.00,77325.78,WIN,4.21,+2.21,+54.47,214,0.0500,30.44,CHAINLINK,0.1349,-202274,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:03:22,20260425-1900,DOWN,2.00,0.4750,77351.58,77300.00,WIN,4.21,+2.21,+56.68,98,0.0500,18.46,CHAINLINK,0.1466,34033,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:07:40,20260425-1905,DOWN,2.00,0.4750,77329.56,77318.09,WIN,4.21,+2.21,+58.89,139,0.0500,22.66,CHAINLINK,0.1200,-132882,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:46:34,20260425-1945,DOWN,1.00,0.4750,77245.98,77257.84,LOSS,0.00,-1.00,+57.89,207,0.0500,24.72,CHAINLINK,0.1256,-135352,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 06:58:15,20260425-2255,UP,1.00,0.5250,77551.86,77562.76,WIN,1.90,+0.90,+58.79,106,0.0500,26.38,CHAINLINK,0.1004,-697575,0,0,22,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:23:01,20260425-2320,DOWN,1.00,0.4750,77611.55,77600.09,WIN,2.11,+1.11,+59.90,120,0.0500,17.66,CHAINLINK,0.1048,9458,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:37:37,20260425-2335,UP,1.00,0.5250,77598.65,77660.96,WIN,1.90,+0.90,+60.80,144,0.0500,35.75,CHAINLINK,0.1301,-11810,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:43:40,20260425-2340,UP,1.00,0.5250,77640.98,77627.90,LOSS,0.00,-1.00,+59.80,81,0.0500,23.06,CHAINLINK,0.1002,-3273624,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:08:57,20260426-0105,UP,1.00,0.5250,77515.26,77536.31,WIN,1.90,+0.90,+60.71,64,0.0500,20.41,CHAINLINK,0.1003,46199,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:21:09,20260426-0120,DOWN,1.00,0.4750,77548.92,77560.33,LOSS,0.00,-1.00,+59.71,232,0.0500,29.32,CHAINLINK,0.1200,146561,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:33:31,20260426-0130,DOWN,1.00,0.4750,77542.61,77551.89,LOSS,0.00,-1.00,+58.71,90,0.0500,14.37,CHAINLINK,0.1000,-1159406,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 11:14:31,20260426-0310,UP,1.00,0.5250,77503.00,77538.05,WIN,1.90,+0.90,+59.61,30,0.0000,34.71,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-26 11:19:31,20260426-0315,UP,1.00,0.5250,77538.05,77549.32,WIN,1.90,+0.90,+60.52,30,0.0000,25.15,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 11:44:30,20260427-0340,UP,2.00,0.5350,79221.09,79246.99,WIN,3.74,+1.74,+62.26,30,0.0000,33.03,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 11:54:31,20260427-0350,DOWN,2.00,0.4650,79229.45,79171.54,WIN,4.30,+2.30,+64.56,30,0.0000,52.12,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 12:19:38,20260427-0415,DOWN,2.00,0.4650,79067.12,79055.89,WIN,4.30,+2.30,+66.86,22,0.0000,26.30,LATE,0.0000,0,0,0,4,CHAINLINK_CALC,POLYMARKET_API,True
